timestamp,dividend
1962-02-13T05:00:00Z,0.008071
1962-05-15T04:00:00Z,0.008071
1962-08-14T04:00:00Z,0.008071
1962-11-13T05:00:00Z,0.008071
1963-02-11T05:00:00Z,0.008071
1963-05-14T04:00:00Z,0.009233
1963-08-20T04:00:00Z,0.009233
1963-11-12T05:00:00Z,0.009233
1964-02-10T05:00:00Z,0.009233
1964-05-12T04:00:00Z,0.010653
1964-08-18T04:00:00Z,0.011364
1964-11-09T05:00:00Z,0.011364
1965-02-16T05:00:00Z,0.012784
1965-05-18T04:00:00Z,0.012784
1965-08-17T04:00:00Z,0.012784
1965-11-08T05:00:00Z,0.014205
1966-02-08T05:00:00Z,0.014205
1966-05-17T04:00:00Z,0.015625
1966-08-16T04:00:00Z,0.017045
1966-11-15T05:00:00Z,0.017045
1967-02-14T05:00:00Z,0.017045
1967-05-16T04:00:00Z,0.017756
1967-08-14T04:00:00Z,0.017756
1967-11-06T05:00:00Z,0.019531
1968-02-09T05:00:00Z,0.019531
1968-05-13T04:00:00Z,0.019531
1968-08-12T04:00:00Z,0.019531
1968-11-08T05:00:00Z,0.019531
1969-02-07T05:00:00Z,0.021094
1969-05-12T04:00:00Z,0.021094
1969-08-11T04:00:00Z,0.021094
1969-11-07T05:00:00Z,0.021094
1970-05-11T04:00:00Z,0.021094
1970-08-10T04:00:00Z,0.021094
1970-11-06T05:00:00Z,0.021094
1971-02-05T05:00:00Z,0.021094
1971-05-10T04:00:00Z,0.021094
1971-08-09T04:00:00Z,0.021094
1971-11-08T05:00:00Z,0.021094
1972-02-07T05:00:00Z,0.021094
1972-05-08T04:00:00Z,0.021094
1972-08-07T04:00:00Z,0.021094
1972-11-03T05:00:00Z,0.021094
1973-02-09T05:00:00Z,0.021094
1973-05-14T04:00:00Z,0.021094
1973-08-13T04:00:00Z,0.021094
1973-11-12T05:00:00Z,0.02125
1974-02-08T04:00:00Z,0.02125
1974-05-13T04:00:00Z,0.02125
1974-08-12T04:00:00Z,0.02125
1974-11-08T05:00:00Z,0.02125
1975-02-07T05:00:00Z,0.02125
1975-05-12T04:00:00Z,0.02125
1975-08-11T04:00:00Z,0.02125
1975-11-07T05:00:00Z,0.02125
1976-02-13T05:00:00Z,0.02125
1976-05-17T04:00:00Z,0.02125
1976-08-16T04:00:00Z,0.02125
1976-11-05T05:00:00Z,0.02125
1977-02-14T05:00:00Z,0.02125
1977-05-16T04:00:00Z,0.02125
1977-08-15T04:00:00Z,0.02125
1977-11-04T05:00:00Z,0.02125
1978-02-10T05:00:00Z,0.02125
1978-05-15T04:00:00Z,0.0275
1978-08-14T04:00:00Z,0.0275
1978-11-03T05:00:00Z,0.0275
1979-02-09T05:00:00Z,0.0275
1979-05-14T04:00:00Z,0.0375
1979-08-13T04:00:00Z,0.0375
1979-11-09T05:00:00Z,0.05
1980-02-08T05:00:00Z,0.0625
1980-05-12T04:00:00Z,0.0875
1980-08-11T04:00:00Z,0.0875
1980-11-07T05:00:00Z,0.1125
1981-02-02T05:00:00Z,0.1125
1981-05-08T04:00:00Z,0.15
1981-08-10T04:00:00Z,0.15
1981-11-06T05:00:00Z,0.15
1982-02-05T05:00:00Z,0.15
1982-05-10T04:00:00Z,0.1625
1982-08-09T04:00:00Z,0.1625
1982-11-05T05:00:00Z,0.1625
1983-02-07T05:00:00Z,0.1625
1983-05-09T04:00:00Z,0.1625
1983-08-08T04:00:00Z,0.1625
1983-11-04T05:00:00Z,0.1625
1984-02-07T05:00:00Z,0.1625
1984-05-14T04:00:00Z,0.1625
1984-08-20T04:00:00Z,0.1625
1984-11-13T05:00:00Z,0.175
1985-02-13T05:00:00Z,0.175
1985-05-13T04:00:00Z,0.175
1985-08-13T04:00:00Z,0.175
1985-11-13T05:00:00Z,0.175
1986-02-12T05:00:00Z,0.175
1986-05-13T04:00:00Z,0.175
1986-08-12T04:00:00Z,0.175
1986-11-12T05:00:00Z,0.175
1987-02-11T05:00:00Z,0.175
1987-03-09T05:00:00Z,0.4185
1987-05-04T04:00:00Z,0.175
1987-09-04T04:00:00Z,0.24675
1988-02-29T05:00:00Z,0.486
1988-08-22T04:00:00Z,0.28725
1989-03-06T05:00:00Z,0.50575
1989-05-26T04:00:00Z,0.2075
1989-08-21T04:00:00Z,0.2005
1989-11-17T05:00:00Z,0.197
1990-03-05T05:00:00Z,0.22775
1990-05-21T04:00:00Z,0.26525
1990-08-27T04:00:00Z,0.2505
1990-11-26T05:00:00Z,0.2655
1991-03-04T05:00:00Z,0.28425
1991-05-24T04:00:00Z,0.24525
1991-08-19T04:00:00Z,0.24475
1991-11-18T05:00:00Z,0.253
1992-03-02T05:00:00Z,0.3015
1992-05-22T04:00:00Z,0.3015
1992-08-17T04:00:00Z,0.1605
1992-11-20T05:00:00Z,0.1305
1993-02-22T05:00:00Z,0.102
1993-05-24T04:00:00Z,0.1235
1993-08-23T04:00:00Z,0.11825
1993-11-19T05:00:00Z,0.115
1994-02-18T05:00:00Z,0.115
1994-05-23T04:00:00Z,0.1405
1994-08-19T04:00:00Z,0.13925
1994-11-17T05:00:00Z,0.153
1995-03-03T05:00:00Z,0.176
1995-05-26T04:00:00Z,0.18
1995-08-18T04:00:00Z,0.2405
1995-11-17T05:00:00Z,0.177
1996-02-23T05:00:00Z,0.192
1996-05-17T04:00:00Z,0.2045
1996-08-16T04:00:00Z,0.2895
1996-11-15T05:00:00Z,0.30875
1997-02-19T05:00:00Z,0.3215
1997-05-14T04:00:00Z,0.3185
1997-08-13T04:00:00Z,0.3365
1997-11-12T05:00:00Z,0.346
1998-02-18T05:00:00Z,0.352
1998-05-13T04:00:00Z,0.3595
1998-08-12T04:00:00Z,0.3655
1998-11-10T05:00:00Z,0.3025
1999-03-03T05:00:00Z,0.3025
1999-05-19T04:00:00Z,0.3075
1999-08-18T04:00:00Z,0.3335
1999-11-17T05:00:00Z,0.333
2000-02-23T05:00:00Z,0.333
2000-05-17T04:00:00Z,0.333
2000-08-16T04:00:00Z,0.333
2000-11-15T05:00:00Z,0.35
2001-02-21T05:00:00Z,0.35
2001-05-16T04:00:00Z,0.35
2001-08-15T04:00:00Z,0.367
2001-11-14T05:00:00Z,0.367
2002-02-20T05:00:00Z,0.383
2002-05-15T04:00:00Z,0.383
2002-08-14T04:00:00Z,0.4
2002-11-13T05:00:00Z,0.4
2003-02-26T05:00:00Z,0.417
2003-05-14T04:00:00Z,0.375
2003-08-13T04:00:00Z,0.433
2003-11-12T05:00:00Z,0.433
2004-02-18T05:00:00Z,0.45
2004-05-12T04:00:00Z,0.405
2004-08-11T04:00:00Z,0.426
2004-11-09T05:00:00Z,0.426
2005-02-16T05:00:00Z,0.51
2005-05-11T04:00:00Z,0.51
2005-08-10T04:00:00Z,0.536
2005-11-08T05:00:00Z,0.536
2006-02-22T05:00:00Z,0.563
2006-05-10T04:00:00Z,0.563
2006-08-09T04:00:00Z,0.59
2006-11-08T05:00:00Z,0.59
2007-02-21T05:00:00Z,0.62
2007-05-09T04:00:00Z,0.62
2007-08-08T04:00:00Z,0.65
2007-11-07T05:00:00Z,0.65
2008-02-20T05:00:00Z,0.812
2008-05-14T04:00:00Z,0.812
2008-08-13T04:00:00Z,0.84
2008-11-12T05:00:00Z,0.84
2009-02-18T05:00:00Z,0.84
2009-05-13T04:00:00Z,0.84
2009-08-12T04:00:00Z,0.84
2009-11-10T05:00:00Z,0.84
2010-02-17T05:00:00Z,0.84
2011-02-09T05:00:00Z,0.42
2011-05-11T04:00:00Z,0.42
2011-08-03T04:00:00Z,0.42
2011-11-02T04:00:00Z,0.42
2012-02-15T05:00:00Z,0.48
2012-05-09T04:00:00Z,0.48
2012-08-08T04:00:00Z,0.48
2012-11-07T05:00:00Z,0.54
2013-02-13T05:00:00Z,0.54
2013-05-08T04:00:00Z,0.54
2013-08-07T04:00:00Z,0.54
2013-11-06T05:00:00Z,0.57
2014-02-12T05:00:00Z,0.57
2014-05-07T04:00:00Z,0.585
2014-08-06T04:00:00Z,0.585
2014-11-05T05:00:00Z,0.6
2015-02-11T05:00:00Z,0.6
2015-05-06T04:00:00Z,0.6
2015-08-05T04:00:00Z,0.6
2015-11-04T05:00:00Z,0.6
2016-02-10T05:00:00Z,0.6
2016-05-04T04:00:00Z,0.6
2016-08-03T04:00:00Z,0.6
2016-11-08T05:00:00Z,0.6
2017-02-15T05:00:00Z,0.6
2017-05-10T04:00:00Z,0.6
2017-08-09T04:00:00Z,0.6
2017-11-09T05:00:00Z,0.6
2018-02-15T05:00:00Z,0.6
2018-05-10T04:00:00Z,0.6
2018-08-09T04:00:00Z,0.615
2018-11-08T05:00:00Z,0.615
2019-02-14T05:00:00Z,0.615
2019-05-09T04:00:00Z,0.615
2019-08-08T04:00:00Z,0.615
2019-11-07T05:00:00Z,0.615
2020-02-13T05:00:00Z,0.63
2020-05-08T04:00:00Z,0.63
2020-08-13T04:00:00Z,0.315
2020-11-05T05:00:00Z,0.315
2021-02-18T05:00:00Z,0.315
2021-05-06T04:00:00Z,0.315
2021-08-12T04:00:00Z,0.328
2021-11-10T05:00:00Z,0.328
2022-02-17T05:00:00Z,0.328
2022-05-12T04:00:00Z,0.328
2022-08-11T04:00:00Z,0.36
2022-11-09T05:00:00Z,0.36
2023-02-16T05:00:00Z,0.397
2023-05-11T04:00:00Z,0.397
2023-08-10T04:00:00Z,0.436
2023-11-09T05:00:00Z,0.436
2024-02-15T05:00:00Z,0.436
2024-05-16T04:00:00Z,0.436
2024-08-09T04:00:00Z,0.48
2024-11-08T05:00:00Z,0.48
2025-02-21T05:00:00Z,0.48
2025-05-16T04:00:00Z,0.48
2025-08-15T04:00:00Z,0.499
2025-11-14T05:00:00Z,0.499
